,id,大豆油浓度,玉米油浓度,茶油浓度,peak:843,peak:865,peak:966,peak:1077,peak:1263,peak:1301,peak:1438,peak:1651,peak:1656
33,52,5.0,35.0,60.0,9039.703777777779,9398.634333333335,6670.689888888894,8633.10655555556,11071.4811111111,14371.44,21386.953333333335,11687.996444444447,11294.593666666668
34,64,50.0,40.0,10.0,9575.577333333335,9980.6005,8313.6815,9933.121333333334,13820.37,14730.828333333333,21386.265,13682.869666666666,13793.683333333332
35,37,20.0,15.0,65.0,7731.172444444447,8152.227999999999,5677.075222222223,7500.491888888887,9645.380555555568,12573.424444444434,18961.423333333336,10348.894888888908,9973.075444444466
36,61,20.0,40.0,40.0,8616.8895,8946.722833333333,6708.056166666666,8221.1395,11280.62,13605.493333333332,20288.891666666666,11839.034833333333,11658.034833333333
37,62,30.0,40.0,30.0,8075.732833333333,8429.753666666666,6473.628666666667,7770.712,10985.358333333332,12791.815,19029.420000000002,11519.190666666667,11435.5865
38,31,25.0,10.0,65.0,8258.300888888893,8745.398111111113,6122.314777777777,8164.509222222223,10365.287333333314,13368.8433333333,20091.814444444433,10953.287333333348,10571.398444444458
39,40,5.0,20.0,75.0,7862.867111111113,8253.783444444447,5603.353222222224,7606.867111111117,9327.908444444447,12686.3111111111,18970.56,9939.144777777801,9462.714222222248
40,35,10.0,15.0,75.0,8238.74777777778,8670.067333333338,6014.622555555557,8420.400555555558,9837.17611111111,13133.843333333332,19395.800000000032,10107.440666666656,9625.0101111111
41,71,10.0,60.0,30.0,8157.690666666666,8388.190666666667,6454.003166666666,7700.8365,10730.920166666665,12711.151666666667,18759.985,11152.983,11042.108
42,6,5.0,2.5,92.5,6938.164,7348.780666666667,4776.955666666667,6984.905666666667,7885.8806,11253.197999999999,16809.239333333335,8259.022333333334,7720.3223333333335
43,36,15.0,15.0,70.0,7066.694555555554,7453.389,5183.222333333334,7034.416777777777,8656.13877777778,11437.32,17081.5,9122.972555555547,8753.250333333324
44,72,20.0,60.0,20.0,8610.821666666669,8847.988333333335,7018.905,8131.613333333334,11699.218333333332,13343.176666666666,19649.071666666667,12128.237500000001,12107.654166666667
45,49,5.0,30.0,65.0,8984.443888888893,9375.09666666667,6575.582444444449,8724.652222222227,10892.82,14282.626666666669,21243.0966666667,11414.777777777781,10956.777666666667
46,76,20.0,70.0,10.0,8166.661166666668,8359.182166666667,6735.556833333333,7590.2235,11340.225,12652.578333333333,18736.595,11798.954666666667,11846.538
47,22,20.0,5.0,75.0,6775.87866666667,7197.75366666667,4985.85088888889,7101.7814444444475,8281.198111111116,10946.823444444455,16247.198888888901,8484.823111111113,8113.35088888889
48,7,7.5,2.5,90.0,5695.4223999999995,6025.980733333334,3974.8307333333337,5693.289066666667,6535.039066666667,9202.364066666667,13764.640666666668,6855.389066666667,6444.647399999999
